Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
LNT,Alliant Energy,reports,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/16,352541,1917
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/95,899051,1931
GOOGL,Alphabet (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/14,1652044,1998
GOOG,Alphabet (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/06,1652044,1998
MO,Altria Group,reports,Consumer Staples,Tobacco,"Richmond, Virginia",3/4/57,764180,1985
AMZN,Amazon,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/05,1018724,1994
AMCR,Amcor,reports,Materials,Paper Packaging,"Zurich, Switzerland",6/7/19,1748790,2019 (1860)
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/91,1002910,1902
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",3/23/15,6201,1934
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",3/4/57,4904,1906
AXP,American Express,reports,Financials,Consumer Finance,"New York City, New York",6/30/76,4962,1850
AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York City, New York",3/31/80,5272,1919
AMT,American Tower,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/07,1053507,1995
AWK,American Water Works,reports,Utilities,Water Utilities,"Camden, New Jersey",3/4/16,1410636,1886
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/05,820027,1894
ABC,AmerisourceBergen,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/01,1140859,1985
AME,Ametek,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/13,1037868,1930
AMGN,Amgen,reports,Health Care,Biotechnology,"Thousand Oaks, California",1/2/92,318154,1980
APH,Amphenol,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/08,820313,1932
ADI,Analog Devices,reports,Information Technology,Semiconductors,"Wilmington, Massachusetts",10/12/99,6281,1965
ANSS,Ansys,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/17,1013462,1969
ANTM,Anthem,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/02,1156039,2014 (1946)
AON,Aon,reports,Financials,Insurance Brokers,"London, UK",4/23/96,315293,1982 (1919)
AOS,A. O. Smith,reports,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/17,91142,1916
APA,APA Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/97,6769,1954
AAPL,Apple,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/82,320193,1977
AMAT,Applied Materials,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/95,6951,1967
APTV,Aptiv,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",12/24/12,1521332,1994
ADM,ADM,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",7/29/81,7084,1902
ANET,Arista Networks,reports,Information Technology,Communications Equipment,"Santa Clara, California",8/28/18,1596532,2004
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Rolling Meadows, Illinois",5/31/16,354190,1927
AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York City, New York",4/10/07,1267238,1892
T,AT&T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885)
ATO,Atmos Energy,reports,Utilities,Gas Utilities,"Dallas, Texas",2/15/19,731802,1906
ADSK,Autodesk,reports,Information Technology,Application Software,"San Rafael, California",12/1/89,769397,1982
ADP,Automatic Data Processing,reports,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",3/31/81,8670,1949
AZO,AutoZone,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/97,866787,1979
AVB,AvalonBay Communities,reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",1/10/07,915912,1978
AVY,Avery Dennison,reports,Materials,Paper Packaging,"Glendale, California",12/31/87,8818,1990
BKR,Baker Hughes,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/17,1701605,2017
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/84,9389,1880
BAC,Bank of America,reports,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/76,70858,1998 (1923 / 1874)
BBWI,Bath & Body Works,reports,Consumer Discretionary,Specialty Stores,"Columbus, Ohio",9/30/83,701985,1963
BAX,Baxter International,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/72,10456,1931
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/72,10795,1897
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/10,1067983,1839
BBY,Best Buy,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/99,764478,1966
BIO,Bio-Rad Laboratories,reports,Health Care,Life Sciences Tools & Services,"Hercules, California",6/22/20,12208,1952
TECH,Bio-Techne,reports,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",8/30/21,842023,1976
BIIB,Biogen,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/03,875045,1978
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York City, New York",4/4/11,1364742,1988
BK,BNY Mellon,reports,Financials,Asset Management & Custody Banks,"New York City, New York",3/31/95,1390777,1784
BA,Boeing,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",3/4/57,12927,1916
BKNG,Booking Holdings,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/09,1075531,1996
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/11,908255,1880
BXP,Boston Properties,reports,Real Estate,Office REITs,"Boston, Massachusetts",4/3/06,1037540,1970
BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",2/24/95,885725,1979
BMY,Bristol Myers Squibb,reports,Health Care,Health Care Distributors,"New York City, New York",3/4/57,14272,1989
AVGO,Broadcom,reports,Information Technology,Semiconductors,"San Jose, California",5/8/14,1730168,1961
BR,Broadridge Financial Solutions,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/18,1383312,1962
BRO,Brown & Brown,reports,Financials,Insurance Brokers,"Daytona Beach, Florida",9/20/21,79282,1939
BF.B,Brown–Forman,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/82,14693,1870
CHRW,C. H. Robinson,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/07,1043277,1905
CDNS,Cadence Design Systems,reports,Information Technology,Application Software,"San Jose, California",9/18/17,813672,1988
CZR,Caesars Entertainment,reports,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",3/22/21,1590895,1973
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",3/4/57,16732,1869
COF,Capital One,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/98,927628,1994
CAH,Cardinal Health,reports,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/97,721371,1971
KMX,CarMax,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/10,1170010,1993
CCL,Carnival Corporation,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/98,815097,1972
CARR,Carrier Global,reports,Industrials,Building Products,"Palm Beach Gardens, Florida",4/3/20,1783180,2020 (1915)
CTLT,Catalent,reports,Health Care,Pharmaceuticals,"Somerset, New Jersey",9/21/20,1596783,2007
CAT,Caterpillar,reports,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",3/4/57,18230,1925
CBOE,Cboe Global Markets,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/17,1374310,1973
CBRE,CBRE,reports,Real Estate,Real Estate Services,"Dallas, Texas",11/10/06,1138118,1906
CDW,CDW,reports,Information Technology,Technology Distributors,"Lincolnshire, Illinois",9/23/19,1402057,1984
CE,Celanese,reports,Materials,Specialty Chemicals,"Irving, Texas",12/24/18,1306830,1918
CNC,Centene,reports,Health Care,Managed Health Care,"St. Louis, Missouri",3/30/16,1071739,1984
CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,"Houston, Texas",7/31/85,1130310,1882
CDAY,Ceridian,reports,Information Technology,Application Software,"Minneapolis, Minnesota",9/20/21,1725057,1992
CERN,Cerner,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",4/30/10,804753,1979
CF,CF Industries,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/08,1324404,1946
CRL,Charles River Laboratories,reports,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",5/14/21,1100682,1947
SCHW,Charles Schwab,reports,Financials,Investment Banking & Brokerage,"Westlake, Texas",6/2/97,316709,1971
CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/16,1091667,1993
CVX,Chevron,reports,Energy,Integrated Oil & Gas,"San Ramon, California",3/4/57,93410,1879
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/11,1058090,1993
CB,Chubb,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/10,896159,1985
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/15,313927,1847
CI,Cigna,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/76,1739940,1982
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/97,20286,1950
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",3/1/01,723254,1929
CSCO,Cisco Systems,reports,Information Technology,Communications Equipment,"San Jose, California",12/1/93,858877,1984
C,Citigroup,reports,Financials,Diversified Banks,"New York City, New York",5/31/88,831001,1998
CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",1/29/16,759944,1828
CTXS,Citrix Systems,reports,Information Technology,Application Software,"Fort Lauderdale, Florida",12/1/99,877890,1989
CLX,Clorox,reports,Consumer Staples,Household Products,"Oakland, California",3/31/69,21076,1913
CME,CME Group,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/06,1156375,1848
CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",5/3/99,811156,1886
KO,Coca-Cola,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",3/4/57,21344,1886
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/06,1058290,1994
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York City, New York",3/4/57,21665,1806
CMCSA,Comcast,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",11/19/02,1166691,1963
CMA,Comerica,reports,Financials,Diversified Banks,"Dallas, Texas",12/1/95,28412,1849
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/83,23217,1919
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/57,1163165,2002
ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York City, New York",,1047862,1823
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",7/1/05,16918,1945
COO,The Cooper Companies,reports,Health Care,Health Care Supplies,"San Ramon, California",9/23/16,711404,1958
CPRT,Copart,reports,Industrials,Diversified Support Services,"Dallas, Texas",7/2/18,900075,1982
GLW,Corning,reports,Information Technology,Electronic Components,"Corning, New York",,24741,1851
CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",6/3/19,1755672,2019
COST,Costco,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/93,909832,1976
CTRA,Coterra,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/08,858470,2021 (1989)
CCI,Crown Castle,reports,Real Estate,Specialized REITs,"Houston, Texas",3/14/12,1051470,1994
CSX,CSX,reports,Industrials,Railroads,"Jacksonville, Florida",9/30/67,277948,1980
CMI,Cummins,reports,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/65,26172,1919
CVS,CVS Health,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",3/4/57,64803,1996
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Arlington, Texas",6/22/05,882184,1978
DHR,Danaher,reports,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938
DVA,DaVita,reports,Health Care,Health Care Facilities,"Denver, Colorado",7/31/08,927066,1979
DE,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",3/4/57,315189,1837
DAL,Delta Air Lines,reports,Industrials,Airlines,"Atlanta, Georgia",9/11/13,27904,1929
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"Charlotte, North Carolina",11/14/08,818479,2016 (1969)
DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/00,1090012,1971
DXCM,DexCom,reports,Health Care,Health Care Equipment,"San Diego, California",5/12/20,1093557,1999
FANG,Diamondback Energy,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/18,1539838,2007
DLR,Digital Realty Trust,reports,Real Estate,Specialized REITs,"Austin, Texas",5/18/16,1297996,2004
DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/07,1393612,1985
DISCA,Discovery (Series A),reports,Communication Services,Broadcasting,"New York City, New York",3/1/10,1437107,1985
DISCK,Discovery (Series C),reports,Communication Services,Broadcasting,"New York City, New York",8/7/14,1437107,1985
DISH,Dish Network,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/17,1001082,1980
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/12,29534,1939
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/11,935703,1986
D,Dominion Energy,reports,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983
DPZ,Domino's Pizza,reports,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",5/12/20,1286681,1960
DOV,Dover Corporation,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/85,29905,1955
DOW,Dow,reports,Materials,Commodity Chemicals,"Midland, Michigan",4/1/19,1751788,2019
DTE,DTE Energy,reports,Utilities,Multi-Utilities,"Detroit, Michigan",3/4/57,936340,1995
DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/76,1326160,1904
DRE,Duke Realty Corp,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",7/26/17,783280,1972
DD,DuPont,reports,Materials,Specialty Chemicals,"Wilmington, Delaware",4/2/19,1666700,2017
DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/17,1688568,2017
EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/94,915389,1920
ETN,Eaton Corporation,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911
EBAY,eBay,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",7/22/02,1065088,1995
ECL,Ecolab,reports,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1/31/89,31462,1923
EIX,Edison International,reports,Utilities,Electric Utilities,"Rosemead, California",3/4/57,827052,1886
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",4/1/11,1099800,1958
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/02,712515,1982
EMR,Emerson Electric,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/65,32604,1890
ENPH,Enphase Energy,reports,Information Technology,Electronic Components,"Fremont, California",1/7/21,1463101,2006
ETR,Entergy,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",3/4/57,65984,1913
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/00,821189,1999
EFX,Equifax,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/97,33185,1899
EQIX,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",3/20/15,1101239,1998
EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",12/3/01,906107,1969
ESS,Essex Property Trust,reports,Real Estate,Residential REITs,"San Mateo, California",4/2/14,920522,1971
EL,Estée Lauder Companies,reports,Consumer Staples,Personal Products,"New York City, New York",1/5/06,1001250,1946
ETSY,Etsy,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"New York City, New York",9/21/20,1370637,2005
EVRG,Evergy,reports,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/18,1711269,1909
ES,Eversource Energy,reports,Utilities,Multi-Utilities,"Hartford, Connecticut",,72741,1966
RE,Everest Re,reports,Financials,Reinsurance,"Hamilton, Bermuda",6/19/17,1095073,1973
EXC,Exelon,reports,Utilities,Multi-Utilities,"Chicago, Illinois",3/4/57,1109357,2000
EXPE,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",10/2/07,1324424,1996
EXPD,Expeditors,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/07,746515,1979
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",1/19/16,1289490,1977
XOM,ExxonMobil,reports,Energy,Integrated Oil & Gas,"Irving, Texas",3/4/57,34088,1999
FFIV,F5,reports,Information Technology,Communications Equipment,"Seattle, Washington",12/20/10,1048695,1996
FAST,Fastenal,reports,Industrials,Building Products,"Winona, Minnesota",9/15/08,815556,1967
FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,"Rockville, Maryland",2/1/16,34903,1962
FDX,FedEx,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/80,1048911,1971
FIS,Fidelity National Information Services,reports,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",11/10/06,1136893,1968
FITB,Fifth Third Bancorp,reports,Financials,Regional Banks,"Cincinnati, Ohio",,35527,1858
FE,FirstEnergy,reports,Utilities,Electric Utilities,"Akron, Ohio",,1031296,1997
FRC,First Republic Bank,reports,Financials,Regional Banks,"San Francisco, California",1/2/19,1132979,1985
FISV,Fiserv,reports,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",4/2/01,798354,1984
FLT,Fleetcor,reports,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",6/20/18,1175454,2000
FMC,FMC Corporation,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/09,37785,1883
F,Ford,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",3/4/57,37996,1903
FTNT,Fortinet,reports,Information Technology,Systems Software,"Sunnyvale, California",10/11/18,1262039,2000
FTV,Fortive,reports,Industrials,Industrial Machinery,"Everett, Washington",7/1/16,1659166,2016
FBHS,Fortune Brands Home & Security,reports,Industrials,Building Products,"Deerfield, Illinois",6/22/16,1519751,2011 (1969)
FOXA,Fox Corporation (Class A),reports,Communication Services,Movies & Entertainment,"New York City, New York",7/1/13,1754301,2019
FOX,Fox Corporation (Class B),reports,Communication Services,Movies & Entertainment,"New York City, New York",9/18/15,1754301,2019
BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777,1947
FCX,Freeport-McMoRan,reports,Materials,Copper,"Phoenix, Arizona",,831259,1912
GPS,Gap,reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",8/31/86,39911,1969
GRMN,Garmin,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/12,1121788,1989
IT,Gartner,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/17,749251,1979
GNRC,Generac Holdings,reports,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",3/22/21,1474735,1959
GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",3/4/57,40533,1899
GE,General Electric,reports,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/69,40704,1856
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/13,1467858,1908
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/73,40987,1925
GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",7/1/04,882095,1987
GL,Globe Life,reports,Financials,Life & Health Insurance,"McKinney, Texas",4/30/89,320335,1900
GPN,Global Payments,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/16,1123360,2000
GS,Goldman Sachs,reports,Financials,Investment Banking & Brokerage,"New York City, New York",7/22/02,886982,1869
GWW,W. W. Grainger,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",6/30/81,277135,1927
HAL,Halliburton,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/4/57,45012,1919
HBI,Hanesbrands,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",3/20/15,1359841,2000
HIG,The Hartford,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",3/4/57,874766,1810
HAS,Hasbro,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/84,46080,1923
HCA,HCA Healthcare,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",1/27/15,860730,1968
PEAK,Healthpeak Properties,reports,Real Estate,Health Care REITs,"Long Beach, California",3/31/08,765880,1985
HSIC,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",3/17/15,1000228,1932
HSY,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",3/4/57,47111,1894
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York City, New York",5/31/84,4447,1919
HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",11/2/15,1645590,2015
HLT,Hilton Worldwide,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",6/19/17,1585689,1919
HOLX,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/16,859737,1985
HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/88,354950,1978
HON,Honeywell,reports,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",3/31/64,773840,1906
HRL,Hormel,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/09,48465,1891
HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",3/20/07,1070750,1993
HWM,Howmet Aerospace,reports,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",3/31/64,4281,2016
HPQ,HP,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",12/31/74,47217,1939 (2015)
HUM,Humana,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,1961
HBAN,Huntington Bancshares,reports,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",,49196,1866
HII,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/18,1501585,2011
IEX,IDEX Corporation,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",8/9/19,832101,1988
IDXX,Idexx Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/17,874716,1983
INFO,IHS Markit,reports,Industrials,Research & Consulting Services,"London, England",6/2/17,1598014,1959
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",2/28/86,49826,1912
ILMN,Illumina,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",11/19/15,1110803,1998
INCY,Incyte,reports,Health Care,Biotechnology,"Wilmington, Delaware",2/28/17,879169,1991
IR,Ingersoll Rand,reports,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",3/3/20,1699150,1859
INTC,Intel,reports,Information Technology,Semiconductors,"Santa Clara, California",12/31/76,50863,1968
ICE,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data,"Atlanta, Georgia",9/26/07,1571949,2000
IBM,IBM,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",3/4/57,51143,1911
IP,International Paper,reports,Materials,Paper Packaging,"Memphis, Tennessee",3/4/57,51434,1898
IPG,Interpublic Group,reports,Communication Services,Advertising,"New York City, New York",10/1/92,51644,1961 (1930)
IFF,International Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York City, New York",3/31/76,51253,1958 (1889)
INTU,Intuit,reports,Information Technology,Application Software,"Mountain View, California",12/5/00,896878,1983
ISRG,Intuitive Surgical,reports,Health Care,Health Care Equipment,"Sunnyvale, California",6/2/08,1035267,1995
IVZ,Invesco,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/08,914208,1935
IPGP,IPG Photonics,reports,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",3/7/18,1111928,1990
IQV,IQVIA,reports,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",8/29/17,1478242,1982
IRM,Iron Mountain,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",1/6/09,1020569,1951
JKHY,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",11/13/18,779152,1976
J,Jacobs Engineering Group,reports,Industrials,Construction & Engineering,"Dallas, Texas",10/26/07,52988,1947
JBHT,J. B. Hunt,reports,Industrials,Trucking,"Lowell, Arkansas",7/1/15,728535,1961
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",11/6/08,91419,1897
JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",6/30/73,200406,1886
JCI,Johnson Controls,reports,Industrials,Building Products,"Cork, Ireland",8/27/10,833444,1885
JPM,JPMorgan Chase,reports,Financials,Diversified Banks,"New York City, New York",6/30/75,19617,2000 (1799 / 1871)
JNPR,Juniper Networks,reports,Information Technology,Communications Equipment,"Sunnyvale, California",6/2/06,1043604,1996
KSU,Kansas City Southern,reports,Industrials,Railroads,"Kansas City, Missouri",5/24/13,54480,1887
K,Kellogg's,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",9/11/89,55067,1906
KEY,KeyCorp,reports,Financials,Regional Banks,"Cleveland, Ohio",3/1/94,91576,1825
KEYS,Keysight Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",11/6/18,1601046,2014
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",3/4/57,55785,1872
